data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
602,602,"In the Polish culture, what are the religious expectations for people?",Practice weekly religious rituals connected with Christianity.,Practice yoga and meditation sessions frequently.,People can have all kinds of different religious beliefs.,Most people in Poland are Jews and adhere to their religious beliefs.,A,Poland
603,603,How do people in Brazil typically eat pizza?,With cutlery,"With their hands, folded",With chopsticks,By cutting it into small pieces and eating with a toothpick.,B,Brazil
604,604,"In Sicily, when an older person meets a younger one for the first time in a small town, what do they commonly ask to know their family background?",What is your family name?,Who do you belong to?,What's your full name?,What street in town do you live?,B,Italy
605,605,How do Dutch people typically communicate in a way that might be perceived as rude by foreigners?,By not being straight forward in conversation.,By being rude in passing or in conversation.,By being somewhat direct in the way they talk.,By being indirect in the way they talk,C,Netherlands
606,606,"In the context of Czech culture in Moravia region, what is expected behavior of friends on the day of moving out?",Help to move the furniture.,Wish luck in the new places.,Bring alcohol.,"Do nothing, since this is a personal matter.",A,Czech Republic
607,607,"In the cultural practices of Poland, which observance, tied to the commemoration of patronal feast days, rivals or surpasses the importance of the annual personal milestone marking one's entry into the world, and typically involves customary social rituals, special meals, and the exchange of tokens of affection?",Baptism Anniversaries,Name Days (Imieniny),Feast of Corpus Christi,All Saints' Day,B,Poland
608,608,What is the name of the end-of-year festive period in Mexican culture that starts after December 12th and ends before January 6th?,Guadalupe-Reyes Marathon,Thanksgiving to New Year's Stretch,Christmas to Martin Luther King Jr. Day Break,Winter Solstice to New Year's Eve Celebration,A,Mexico
609,609,"In Egyptian culture, when is the celebration for a new baby typically held? and who are participate?",A week after the birth and it is for invited guests,The day after the birth and it is for baby's closest family,Before the baby is born and it is for whole community,On the baby's first birthday and it is for family and friends,A,Egypt
610,610,How do we typically greet each other in England?,By bowing to each other,With a hug and a handshake,By touching noses,With a high five,B,United Kingdom
611,611,"In Taiwan, where do we go when on traditional days?",Restaurants,Temples,Night market,Shopping,B,Taiwan
612,612,What is the traditional clothing in Japan?,Kimono,Jeans and T-shirt,Suit and Tie,Cowboy Hat and Boots.,A,Japan
613,613,Why might a friend in Mexico joke about being scared of sandals?,A tool for harm or defense,harm natural surroundings significantly,bring misfortune or negativity,Primarily utilized by low-income individuals,A,Mexico
614,614,What is a common food item that Korean people eat with every day?,Hamburger,Kimchi,Pizza,Bagel,B,South Korea
615,615,"In Brazilian culture, which dish is considered the best and originated from Africans?",Fried chicken,Feijao Tropeiro,Feijoada,Gumbo,C,Brazil
616,616,"Which time frame is most common for a Brazilian acquaintance to invite you to their home for a gathering?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) On the same day, even if you've just met.
(ii) Only after knowing them for several months.
(iii) After a couple of weeks, once you've hung out a few times.
(iv) Not until they formally introduce themselves with a written letter.","i, ii","i, iii","i, iii, iv","ii, iii",B,Brazil
617,617,"In Spain, which event do we celebrate for a week each spring that depicts different stages of the life and resurrection of Jesus Christ?",Easter Week,Thanksgiving Week,Independence Week,Spring Break Week.,A,Spain
618,618,"In Chilean culture, what is a common tradition during Christmas for a non religious person?",Almost everyone travels to gather with their families.,People go out to watch Christmas parades in the city.,Families exchange gifts on New Year's Eve instead of Christmas.,Communities organize potluck dinners at local community centers.,A,Chile
619,619,"How do people in Chile typically celebrate their Independence Day?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) By having a single day of partying and eating, to then return to work the next day.
(ii) By watching a fireworks show and having a barbecue with friends and family.
(iii) By enjoying one or more days of drinking, eating, and partying with friends and family.
(iv) By decorating their homes with flags and attending a parade.","ii, iii","ii, iv","i, ii, iii, iv","iii, iv",D,Chile
620,620,"In Vietnam, how is a stranger likely to be treated when visiting a local family?","The family might keep a polite distance, ensuring the stranger has directions and recommendations for their stay.","They invite the stranger into their home for a meal, sharing their traditions and making the visitor feel part of the family.",They offer the stranger a brief greeting,They bring the stranger to different places for visiting directly.,B,Vietnam
621,621,"In Chinese culture, which number is likely considered unlucky?",4.04,4,7,666,B,China
622,622,"If locals want to grab a hamburger in Australia, where do they go?",McDonalds,macccas,Maccas,ma-cas,C,Australia
623,623,"When considering Japanese culture with college entrance structures, what is the average Japanese student not expected to do in their last year of highschool?",Go to cram school twice a week and study.,Go to open campuses and take a good look at the universities.,Study every day for the whole year.,Study every day while also working on their personal statement.,D,Japan
624,624,"In Polish culture, which of the following social attitudes is most commonly observed?",Low tolerance towards LGBT rights,Widespread support for same-sex marriage,High celebration of LGBT festivals,Schools predominantly teaching LGBT rights education.,A,Poland
625,625,"In African American culture, how should you behave when elders are speaking?",Listen quietly and not talk back,Offer your opinion as much as possible,Engage in a lively debate to show your knowledge,Interrupt with your own stories to share your experiences.,A,United States
626,626,"In Filipino culture, people often say 'God bless you' or 'kaawaan ka ng Diyos' in response to actions such as:","""Pagmamano.""",Addressing them with their first name only.,"Using ""po"" and ""opo"" .",Insisting on paying for meals whenever dining out together.,A,Philippines
627,627,"It is not known whether or not young children can have memories of specific moments and, if the denial is true, it would not explain the reason why big parties are thrown for babies in Brazilian culture.",To celebrate and introduce the baby to the community.,To strictly follow a religious ceremony for the baby's first year.,For the baby to have a record of guests' attendance for future reference.,The parties are used as a networking event for parents to meet potential babysitters.,A,Brazil
628,628,What is the new year's celebration in Iran called?,Christmas,Nowruz,4th of july,None of the above,B,Iran
629,629,"In Hong Kong culture, how is love often shown among family and friends?",Giving money and material gifts,Hosting a potluck dinner,Writing heartfelt letters,Going on a road trip together.,A,Hong Kong
630,630,"In the UK, what traditional dish is commonly enjoyed every Friday?",Fish and Chips,Hamburger and Fries,Sushi and Rice,Tacos and Guacamole.,A,United Kingdom
631,631,What is considered impolite to ask a woman about in Russian culture?,Her age,Whether she has children,Her salary,Her marital status,A,Russia
632,632,"How might a young person greet their grandparents during a holiday in India?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Looking them in the eyes when speaking to show confidence.
(ii) Put two hands together at the palm
(iii) Bowing slightly when greeting them.
(iv) Offering a firm handshake when meeting.","ii, iii","i, ii","iii, iv","i, ii, iii, iv",A,India
633,633,What should a man never do when visiting someone else's house in South Africa?,Wearing a hat,Bringing your own beverage,Not taking off your shoes,Shaking hands with the left hand.,A,South Africa
634,634,"In the context of Iranian hiring practices for a government position, what type of question is it culturally acceptable for an interviewer to ask?",Your religion and beliefs.,Your opinion on current political issues.,Your marital status and plans for family.,All above.,D,Iran
635,635,"In Hong Kong, what gesture is commonly used to show respect and gratitude when someone pours tea into your cup?",Bowing your head slightly,"Saying ""Thank you"" loudly",Knocking on the table with two fingers,Clapping your hands together.,C,Hong Kong
636,636,"In Korean culture, what special dish is traditionally made on January 1st, Lunar New Year?",Turkey and stuffing,"Tteokguk, rice cake soup",Pumpkin pie,Hot dogs and fries.,B,South Korea
637,637,What is the term used in Japanese culture to describe the act of faking one's emotions or actions in social situations?,Tatemae,Social mirroring,Emotional openness,Candid expression,A,Japan
638,638,What is expected from interviewees in Chinese culture regarding job applications?,Submit a profile photo,Submit a portfolio of volunteer work,Provide a detailed listing of hobbies and outside interests,Include a recommendation letter from a family member.,A,China
639,639,"In Mexican culture, which birthday do girls value the most?",Fifteenth birthday,Eighteenth birthday,Sixteenth birthday,Twenty-first birthday.,A,Mexico
640,640,"In Hong Kong culture, how do you know you are in big trouble based on how someone addresses you?",By being called by your full Chinese name,By being called by your first name only,By being called by a nickname,By being addressed with a formal title and your last name,A,Hong Kong
641,641,A group of Korean people invite you to a meal. What should you be looking out for before you start filling your tummy?,The most elderly starts having their meal or expresses their approval.,Everyone has expressed their appreciation for something for the day.,The person who invited you says 'Enjoy your meal.’,Someone raises their glass in celebration at the table.,A,South Korea
642,642,"In Russian culture, what does the term ""friend"" imply?",A long and stable connection with a high level of trust,"Anyone from your ""squad"" with whom you may go out from time to time",People with whom you'd like to be polite and friendly in order to create a good vibe,A colleague or partner who has done some job together with you,A,Russia
643,643,What do Polish families traditionally do at a river on the first day of spring?,They're having a barbecue,Drowning a woman's effigy in a river,They dress up the woman's effigy and sing,Drowning a male puppet in a river,B,Poland
644,644,What type of food is customary to eat in Mexican culture?,Spicy food,Sushi,Cheeseburgers,Bagels.,A,Mexico
645,645,"In a Czech household, what are guests typically asked to do before entering the house?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Remove their shoes
(ii) Hang their coats on the hanger
(iii) Sign a guestbook
(iv) Share a meal invitation.","i, iv","i, iii","i, ii","i, ii, iii, iv",C,Czech Republic
646,646,Where can I read the following sentence? Arrête. C'est ici l'empire de la mort!,Catacombs of Paris,National Mall,Arlington National Cemetery,Mount Rushmore.,A,France
647,647,"Most French people participate in this activity at least once or twice a day, whether with family, friends, or colleagues, and it is less familiar to many Anglo-Saxons. What is it?",Shaking hands,A hug,Cheek kissing,A fist bump.,C,France
648,648,Why do people in Polish culture eat pierogi?,For a traditional Christmas Eve meal,As a popular side dish at Thanksgiving,To celebrate Independence Day with a barbecue,As a snack during the Super Bowl.,A,Poland
649,649,"Question: In Venda culture, what is the traditional posture for women when speaking to their husbands or elders?",Sit on a chair facing them,Stand with hands behind their back,Lie prostrate in front of them,Kneel on one knee.,C,South Africa
650,650,"In Japanese culture, how are intentions often communicated in social interactions?","Through non-verbal cues and indirect communication, anticipating that the other party will understand unspoken rules.",By directly stating intentions and expectations to avoid any misunderstandings.,Through extensive written communication to ensure clarity and formality.,By using humor and sarcasm to imply the underlying message.,A,Japan
651,651,"In Poland, how do people typically celebrate something?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Gather in small groups and drink vodka
(ii) Have a large barbecue party in the backyard
(iii) Go to a 24-hour diner for pancakes and coffee
(iv) Celebrate with a tea ceremony.","ii, iv","i, iv","i, ii, iii, iv","i, ii",D,Poland
652,652,"In Zimbabwe, when is a person typically buried after they have passed away?",The day after they died,Within a week of their death,The same day they died,After two weeks from their death.,B,Zimbabwe
653,653,"In Taiwanese culture, what is the most common question people will ask about your work?",Do you like your job?,How much do you make?,What are your job benefits?,Can you work remotely?,B,Taiwan
654,654,"In Hong Kong culture, what role is traditionally assumed for women in the family?",CEO of a major corporation,Principal of a high school,Housekeeper,Head chef in a restaurant.,C,Hong Kong
655,655,"In Romanian culture, when do girls and boys become adults and are permitted to drink alcohol, obtain a driving license, and vote?",Celebrate their 21st birthday,Celebrate their 18th birthday,After they complete their secondary education,When they are employed full-time.,B,Romania
656,656,"In Lebanon, what is a culturally significant way for men to greet each other that demonstrates respect and friendship?",By shaking hands with a firm grip,By exchanging a kiss on both cheeks,By bowing slightly to each other,By giving a thumbs up,A,Lebanon
657,657,"In South Korean culture, what is the underlying reason for younger people pouring drinks for their elders during social gatherings?",To showcase their ability to serve and manage the gathering,To demonstrate respect and uphold hierarchical traditions,To ensure that the elders are consuming beverages responsibly,To symbolize the younger generation's willingness to take on familial responsibilities,B,South Korea
658,658,"In Australia, what is a popular dessert made from egg whites and sugar?",Macarons,Pavlova,Marshmallows,Apple Pie.,B,Australia
659,659,"In Thai culture, how do people traditionally greet each other?",Wai by pressing the palms together at chest or nose level and bowing slightly,Shaking hands firmly while maintaining eye contact,Hugging tightly as a sign of warmth and acceptance,Kissing on the cheeks as a customary greeting gesture,A,Thailand
660,660,"In Thai culture, what is considered disgusting when done on the street?",Spitting,Eating,Tipping,Hugging.,A,Thailand
661,661,"In Thai culture, what is considered highly disrespectful when interacting with someone?",Smiling to people you have seen on the street,Giving a thumbs up,Making direct eye contact,Pointing at someone with your feet.,D,Thailand
662,662,What do small shrine-like structures found outside homes and businesses in Thai culture usually for?,Protective spirits and helps ensure success in their business,Mail and packages,Decorative plants,Outdoor lights.,A,Thailand
663,663,What is a common way to deal with the summer weather in South Korea?,Taking siestas during the hottest part of the day,Eating samgyetang (chicken ginseng soup) to combat the heat,Having barbecues at the beach,Installing window air conditioners in homes.,B,South Korea
664,664,"In South Korea, what utensil do we primarily use when we eat?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Fork
(ii) Spoon
(iii) Chopsticks
(iv) Knife.","ii, iv","ii, iii","i, ii, iii, iv","iii, iv",B,South Korea
665,665,"In Japanese culture, how is it customary to exchange business cards during initial meetings?",With both hands,By tossing it to the other person,By placing it directly into the other person’s pocket,By handing it over with just one hand.,A,Japan
666,666,"In New Zealand culture, what is a traditional method of cooking that involves heated rocks buried in a pit oven?",Hangi,Barbecue,Clam bake,Tandoori cooking,A,New Zealand
667,667,What is Philippine unique for?,hospitality and sun kissed beaches,dance,songs,dressing,A,Philippines
668,668,"In Russian culture, which celebration is considered the most popular?",New Year on 31st of December,Thanksgiving on the fourth Thursday of November,Independence Day on 4th of July,Halloween on 31st of October.,A,Russia
669,669,"In Czech culture, why do people typically drink alcohol a lot?",To celebrate graduating from high school.,As a form of social bonding and for almost every occasion.,Only during the hockey finals.,To commemorate the signing of important business deals.,B,Czech Republic
670,670,"In Peruvian culture, how long is a typical lunch break?",30 minutes to 1 hour,1 hour to 2 hours,20 minutes to 30 minutes,2 hours to 3 hours.,A,Peru
671,671,Where was flamenco born?,Andalusian,Madrid,Madrid,Pais Vasco,A,Spain
672,672,"In which city is ""the April fair"" celebrated?",Seville,Huelva,Cordoba,Granada,A,Spain
673,673,Where are the Sanfermines celebrated?,Madrid,Pamplona,Seville,Valladolid,B,Spain
674,674,"In South Korean culture, how is it customary to give and receive items?",With both hands or with the right hand while supporting the right forearm with the left hand,With only the left hand,"With one hand, while the other hand is in the pocket",Tossing the item casually to the other person.,A,South Korea
675,675,Which ceremony is traditionally associated with testing the virginity of women?,Umhlanga Reed Dance,Sweet sixteen birthday party,Thanksgiving Day celebration,Quinceañera celebration.,A,South Africa
676,676,"In the context of Nepalese culture, how are cows generally regarded?",similar to goat,Raied for Beef production,Kept mainly as pets in households,Are worshipped,D,Nepal
677,677,"In Brazilian culture, who is considered a legendary football player?",Pelé,Michael Jordan,Tom Brady,LeBron James.,A,Brazil
678,678,"In Canadian culture, who should apologize when bumping into someone accidentally?",They apologize even if they are not at fault.,They expect the other person to apologize first.,They ignore the incident and move on without any acknowledgment.,They wait for an apology and express their frustration if it's not forthcoming.,A,Canada
679,679,"In Peruvian culture, how do most people greet each other when they see one another?",Shake hands or hug,Bow slightly,Touch noses,Only wave from a distance.,A,Peru
680,680,"In Peruvian culture, what is greatly cherished before anything else?",Music,Food,Fashion,Sports.,B,Peru
681,681,Why might someone from the Peruvian culture be late to a meeting?,Due to frequent traffic delays,Because it’s considered polite to arrive exactly on time,They often stop for fast food on the way,Tendency to double book their schedules.,A,Peru
682,682,"In Indian culture, how is food typically served to guests to ensure they are sufficiently fed?",Serve a designated amount and expect guests to be satisfied with what is given.,Serve one large meal with the expectation that it will suffice for the entire visit.,"Serve them until they're absolutely full, even insisting multiple times.",Encourage guests to indicate when they want more food without any insistence from the host.,C,India
683,683,"In Japanese culture, what is a common practice when eating noodles?",Eat them quietly without making any noise.,Slurp them loudly as a sign of enjoyment.,Cut them into small pieces before eating.,Use a fork instead of chopsticks.,B,Japan
684,684,What is an appropriate and culturally respectful phrase to express gratitude and appreciation to the cook after enjoying a meal in Turkish culture?,"""Thank you very much for preparing such a wonderful meal!""","""May your hands be blessed with good health and skill!""","""That was absolutely delightful, I truly appreciate your culinary efforts!""","""Would it be possible for you to share the recipe with me?""",B,Turkey
685,685,"In Indonesian culture, what is the most family value?",Collective decision-making,Emphasis on individual success,Prioritizing personal space and independence,Encouraging competitiveness within the family.,A,Indonesia
686,686,"In Italian culture, when do people usually have a steaming hot cappuccino with frothy milk?",After lunch,Whether they want,Relaxing afternoon like between 5pm and 6pm,Early in the morning,D,Italy
687,687,"In Indian culture, how is hospitality typically shown when inviting guests over?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) By offering welcoming drinks
(ii) By giving them a tour of the home and give welcome drink
(iii) By taking them to a local restaurant and pay for the food
(iv) It depends on people","i, ii, iii","i, iii","i, iv","iii, iv",C,India
688,688,What is a common belief when considering dating?,A matrimonial site will not help parents to choose life partner for kids,Parents can discuss to their kids life partners family for arranging a marriage,Parents can go to date to find life partner for kids,Kids can select their life partner,B,India
689,689,"In Hong Kong, what is the appropriate behavior when receiving a red pocket during Chinese New Year?","Politely thank the giver and say the New year greeting, and then put it in your bag or pocket without opening it.",Open it immediately to show appreciation for the amount given.,Share how much was received with those around you.,Donate it to charity in front of the giver to show generosity.,A,Hong Kong
690,690,"In Turkish meal culture, which item is most likely to be served as a traditional welcome to guests?",A shot of strong espresso,A glass of sweet tea,A slice of apple pie,A bowl of clam chowder.,B,Turkey
691,691,"In Korean drinking culture, which behavior is considered respectful when drinking with someone older or of higher status?",Making direct eye contact while toasting.,Raising your glass higher than the elder's when cheers-ing.,Turning your head away and covering your glass with your hand when drinking.,Tapping the table twice before taking a sip.,C,South Korea
692,692,How many times Bangladesh Muslim are allowed to pray?,5 times,3 times,once,no limits,A,Bangladesh
693,693,"In Philippine culture, what does every barangay have that is unique to it and celebrated with a fiesta?",Its own patron saint,A national monument,A specific fast-food chain,An annual sports competition.,A,Philippines
694,694,What is the common belief in the Philippines regarding living with a boyfriend or girlfriend?,Living together before marriage is customary.,Couples often live together to test compatibility before marriage.,Marriage is typically expected before living together.,It's common for couples to have separate residences even after marriage.,C,Philippines
695,695,"In Filipino culture,  what words are never used to address someone older than you?",Hey you,Mr. and Mrs.,Po and opo,Sir and Ma'am.,A,Philippines
696,696,What ceremony do young Zulu maidens participate in as a coming-of-age celebration where their virginity is tested and celebrated?,Umhlanga Reed Dance,Sweet Sixteen Party,Quinceañera,Bat Mitzvah.,A,South Africa
697,697,"In Czech culture, what is the uncommon workplace etiquette regarding not sharing salary information among colleagues?",It is common to not share salary information with colleagues.,It’s encouraged to share salary information to ensure fairness.,People often share their salary details during lunch breaks.,Sharing salary information is seen as a way to foster competitiveness.,A,Czech Republic
698,698,"In Indian culture, how do people treat currency notes?",As symbols of the goddess of wealth,As purely economic tools without any spiritual significance,As items to be showcased in cultural museums,As collectible items for historical documentation.,A,India
699,699,"In the Hindu culture, how is a new venture typically started to ensure success and blessings?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) By cutting a ribbon.
(ii) By making an offering to Shree Ganesh.
(iii) By breaking a coconut in front of the deity
(iv) By lighting a candle.","iii, iv","i, ii, iii, iv","i, ii, iii","ii, iv",C,India
700,700,"In the context of Turkish culture, how has the tradition of Turkish tea (çay) influenced social interactions and daily life?","It's an integral part of hospitality and socializing, often served during meetings or visits.","It's mainly reserved for high tea in the late afternoon, accompanied by scones and jams.","It's consumed quickly and on the go, primarily for a caffeine boost during work hours.",It's,A,Turkey
701,701,What's a traditional greeting you might see at a marae (Māori meetinghouse)?,Pressing their noses (and sometimes foreheads) together,Hand gesture greeting,Bowing their heads at each other,Wrapping their arms around each other,A,New Zealand
702,702,"In Japan, what J-Pop band sang a hit song ""Idol""?",Yoasobi.,Mrs Green Apple.,King Gnu.,Perfume.,A,Japan
703,703,"In a job interview in Turkey, what question is commonly asked to male candidates to assess their eligibility?",Whether they have done their military service,Whether they have a driver’s license,Whether they have completed a bachelor’s degree,Whether they have previous job experience in the US market.,A,Turkey
704,704,What is the customary practice in Spain after finishing a meal?,Quickly leaving the table after eating.,Offering to help wash the dishes immediately after eating.,Staying at the table for conversation after the meal is finished.,Clearing the table and starting another activity immediately.,C,Spain
705,705,"In Czech culture, what is the common practice when entering one's own or someone else's house?","Put on special indoor footwear, like slippers",Keep wearing outdoor shoes inside the house,Switch to sneakers shoes for indoor comfort,Only remove shoes if they are dirty or wet.,A,Czech Republic
706,706,"In England, how do people typically greet each other when they meet?",By saluting and asking if they are okay,With a firm handshake,By bowing slightly,With a hug and a kiss on the cheek.,B,United Kingdom
707,707,"In Indonesian culture, what is the common gesture when meeting someone older?",Offering a firm handshake while bowing to the older people.,Bowing and take their hand.,Bowing hardly and take their hand and kiss them,Take their hand and kiss their hand.,D,Indonesia
708,708,"In Nepalese culture, which hand is considered improper for eating and for handing over or receiving items?",Right hand,Left hand,Both hands together,Alternating hands based on social status.,B,Nepal
709,709,"In the context of Israeli culture, what is a common unique tradition for celebrating a birthday?",Cutting and sharing a birthday cake with friends and family.,Making a birthday wish while blowing out candles on a cake.,The birthday person sits on a chair and is lifted up in the air the number of years of their age plus one for luck.,"Singing ""Happy Birthday"" songs in public places.",C,Israel
710,710,"In the Netherlands, what is a common greeting practice?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Shaking hands firmly while maintaining eye contact
(ii) Kissing three times on each other's cheek
(iii) Bowing slightly while making eye contact
(iv) Offering a high-five or fist bump.","ii, iv","i, ii, iii, iv","i, ii","i, iii",C,Netherlands
711,711,"In Argentine culture, how do people typically greet each other when meeting for the first time?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) A handshake
(ii) A bow
(iii) A kiss on the cheek
(iv) A hug.","i, iii","i, ii, iv","ii, iii","i, iv",A,Argentina
712,712,What is a common expression in Argentina to wish someone a good meal?,Bon appétit,Enjoy your meal,Provecho,Guten Appetit,C,Argentina
713,713,"In Argentina, what is the common response when someone sneezes?",Bless you,Gazuntite,Salud,Cheers,C,Argentina
714,714,"In Hong Kong, what language do young people commonly use in their daily communication on the internet?",Cantonese,Chinglish,Cantonese with a mix of English,English,C,Hong Kong
715,715,What are family reunions in black culture in United States most commonly known for?,Playing sports together,Music and a larger variety of foods,Watching a football game together,A formal dinner.,B,United States
716,716,What dish do people in Iran typically eat on the night before the Iranian New Year?,Persian herbed rice with fish,Ash,Kebab,Khoresh gormeh sabzi,A,Iran
717,717,"In Thai culture, which action is considered rude.",touch someone with your hand,keeping eye contact while talking,put hand together and bowing when meeting someone,point to the direction with your feet,D,Thailand
718,718,"In German culture, a few people claim drinking water from the tap is not tasty. Do locals in Germany share the same belief?","No, it is safe and common","Yes, it is only for washing hands, not for drinking","Yes, it needs to be boiled before drinking","Yes, it is generally avoided due to poor taste and quality",A,Germany
719,719,"In Ukrainian culture, what's a socially-expected practice when riding on the bus?",Speaking quietly.,Never asking anybody any questions.,"When entering with a pet, use the back door.",Follow the strict priority on who gets to be more comfortable.,A,Ukraine
720,720,"In Chilean culture, how do a gentleman and a girl typically greet each other?",Both greet by kissing their both feet and cheeks,They don't kiss their lips but they like kiss their cheeks sometimes,They only greet in the street with voice,Hand gesture that only a Chilean knows like kissing,B,Chile
721,721,How do you welcome someone of the opposite sex in Chile?,Kiss on the cheek,Bow slightly,Shake hands firmly,Wave from a distance.,A,Chile
722,722,"In Russian culture, what don't you bring to the party?",Wine,Cake,Flowers,Couch,D,Russia
723,723,"Cuál es la salsa picante favorita de los peruanos
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Tabasco
(ii) Pimiento
(iii) Rocoto
(iv) Ají","i, iv","i, ii, iii","ii, iv","iii, iv",D,Peru
724,724,"En Lima, ¿qué hace un ""datero""?",Indica a los pasajeros el tiempo de los buses.,Encuesta a los pasajeros para mejorar el sistema,Advierte al conductor cuánto tiempo se lleva con el bus anterior.,Solicita y actualiza datos del conductor como medida de control,C,Peru
725,725,"In Lima, during the month of October, what is a tradition for Catholic people regarding their attire?",Wearing purple robes,Wearing green hats,Dressing in white,Wearing blue jeans.,A,Peru
726,726,"In Vietnamese culture, what question would your relatives ask you if they heard you just changed company?",Are you happy with the benefits?,How much do you make?,What's the work-life balance?,Do you think you'lll stay there for long?,B,Vietnam
727,727,"In French culture, what is commonly consumed with meals?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) coffee
(ii) wine
(iii) beer
(iv) bread","i, ii","i, iv","ii, iv","i, iii, iv",C,France
728,728,"In Singapore, what do people like to criticize online?",Sharing personal daily activities,Posting food recipes,Criticizing the government,Sharing fitness routines.,C,Singapore
729,729,"In Singapore, is it true that residents of different skin colours live in different areas of the country?","No, people from different cultural backgrounds normally mingle.",No but people prefer to stay within their own cultural groups.,"Yes, it is uncommon for individuals of diverse cultures to interact outside of work.","Yes, Cultural mixing is generally discouraged.",A,Singapore
730,730,"In Singapore, which item is allowed in buses?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Durians
(ii) Fast food burgers
(iii) Popcorn on package
(iv) A slice of pizza.","ii, iv","i, ii, iii, iv","ii, iii","ii, iii, iv",D,Singapore
731,731,"In Chinese culture, how is it considered impolite to address your boss?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) By their first names
(ii) By their formal titles followed by their surname
(iii) By a nickname you choose
(iv) By their job title.","ii, iii","i, iii","i, iv","i, ii, iii",B,China
732,732,What are Czech women spanked by during Easter?,a willow branch,their fingers,"a light, delicate bird plume",a cloth material,A,Czech Republic
733,733,Why isn't the Welsh language and culture a compulsory education subject in Wales?,It is a compulsory subject up to the age of 16.,Students prefer to focus on Spanish or French as a second language.,The government prioritizes American English over local languages.,"Universities in Wales only offer courses in English, making other languages unnecessary.",A,United Kingdom
734,734,"In Turkey, what is the custom regarding shoes and entering one's home?",Leaving shoes at the door before entering.,Wearing shoes inside to show respect.,Changing into indoor shoes inside the home.,Leaving the shoes before entering to have hygien,A,Turkey
735,735,"In Chile culture, which sport is almost considered a religion by some of its enthusiasts?",Football (Soccer),American Football,Boxing.,Basketball.,A,Chile
736,736,"In Chinese culture, what color is inappropriate for a funeral?",Red,Black,White,Blue,A,China
737,737,"In Hong Kong, what is the common practice before drinking water?",Drinking it straight from the tap.,Adding ice cubes for a cold drink.,Boiling the water.,Flavoring it with syrup.,C,Hong Kong
738,738,"In Hong Kong, why is it strange for a man to be wearing a green hat?",Green is the same color as the military uniform,Green is an unlucky color in chinese superstition,The chinese phrase for wearing a green hat means that you are a criminal,The chinese phrase for wearing a green hat means that their spouse is cheating on them,D,Hong Kong
739,739,What is the capital city according to United States culture?,"Washington, D.C.",London,Paris,Tokyo,A,United States
740,740,"In which region is the state of Arizona located, according to the United States regional classification?",Southwest,Southeast,Northwest,Midwest.,A,United States
741,741,Someone in New Zealand invites you to a boil-up. What is this?,A meeting of cultures.,A disscussion between groups,A traditional game.,A kind of meal.,D,New Zealand
742,742,"In Thai culture, what career is most preferred?",Doctor,Hollywood actor,Wall Street Banker,Silicon Valley engineer.,A,Thailand
743,743,"In Scottish culture, what is a humorous myth that locals might jokingly tell about Haggis?",Haggis is a real animal with an exhibit in the museum.,Haggis is a traditional pie served only during presidential elections.,Haggis is a breed of sheep that can only graze on mountain tops.,Haggis is a famous painting dating back to the 18th century.,A,United Kingdom
744,744,"In the United Kingdom, under what circumstances is it uncommon for people to cross the road?",When the pedestrian light turns green,"Anytime, disregarding traffic and traffic light",When there are no vehicles in sight,"On a red light, if the road seems clear",B,United Kingdom
745,745,What kind of milk is traditionally used in Vietnamese coffee?,Sweetened condensed milk,Almond milk,Skim milk,Half-and-half,A,Vietnam
746,746,Which desserts might you find at an Italian family's Christmas dinner?,Panettone and Pandoro,Fruitcake and Gingerbread,Pecan pie and Sugar cookies,Buche de Noel and Stollen.,A,Italy
747,747,"In Japanese culture, how do women tend to feel about showing their cleavage?",They tend to feel uncomfortable,They see it as a form of empowerment,They consider it a fashion statement,They use it as a means of self-expression,A,Japan
748,748,"In French culture, what is commonly eaten with every meal?",Cheese,Hamburger,Sushi,Hot dog.,A,France
749,749,"In a Japanese formal business meeting, how is a business card typically exchanged?",With both hands as a sign of respect and carefully observed by the recipient.,Tossed casually across the table after the meeting concludes.,Handed over with one hand while simultaneously sipping a cup of coffee.,"Exchanged digitally through smartphones, without any physical cards being involved.",A,Japan
750,750,"In Malaysia, how are religious festivals from different religions treated?",They are celebrated throughout the year with many public holidays for each festival.,They are only acknowledged and celebrated in private settings due to religious exclusivity.,Only one main religion's or culture's festivals are recognized and given public holidays.,Religious festivals are celebrated quietly without official recognition or public holidays.,A,Malaysia
